iter	Passed	Remaining
319	563	1197
320	564	1195
321	566	1193
322	568	1191
323	570	1189
324	571	1187
325	573	1185
326	575	1184
327	577	1182
328	579	1181
329	580	1178
330	582	1177
331	584	1175
332	585	1173
333	587	1171
334	589	1169
335	591	1168
336	593	1166
337	594	1164
338	596	1162
339	598	1160
340	599	1158
341	600	1156
342	602	1154
343	604	1152
344	606	1151
345	608	1149
346	609	1147
347	611	1145
348	613	1144
349	618	1147
350	623	1152
351	625	1151
352	627	1149
353	628	1147
354	630	1145
355	632	1143
356	633	1141
357	635	1139
358	636	1137
359	638	1134
360	639	1132
361	641	1130
362	642	1128
363	644	1126
364	646	1124
365	648	1122
366	649	1120
367	651	1118
368	652	1116
369	654	1113
370	655	1111
371	657	1109
372	658	1107
373	660	1105
374	662	1103
375	663	1101
376	665	1099
377	666	1097
378	668	1094
379	669	1092
380	671	1090
381	673	1089
382	675	1088
383	677	1086
384	679	1084
385	680	1082
386	682	1080
387	683	1078
388	685	1076
389	687	1074
390	688	1072
391	690	1071
392	692	1069
393	693	1067
394	695	1065
395	696	1062
396	698	1060
397	700	1060
398	703	1058
399	704	1056
400	706	1054
401	707	1052
402	709	1050
403	710	1048
404	712	1046
405	713	1044
406	715	1042
407	717	1041
408	719	1039
409	720	1037
410	722	1035
411	723	1033
412	725	1031
413	726	1028
414	728	1027
415	730	1025
416	731	1023
417	733	1021
418	734	1018
419	736	1016
420	737	1014
421	739	1012
422	741	1010
423	742	1008
424	744	1007
425	746	1005
426	748	1003
427	749	1001
428	751	999
429	752	997
430	754	995
431	755	993
432	757	991
433	758	989
434	760	987
435	762	985
436	763	983
437	765	981
438	766	979
439	768	977
440	769	975
441	771	973
442	773	972
443	775	970
444	776	968
445	778	966
446	779	964
447	781	962
448	782	960
449	784	958
450	786	956
451	788	955
452	790	954
453	792	952
454	793	950
455	795	949
456	797	947
457	802	949
458	805	949
459	807	947
460	808	945
461	810	943
462	811	941
463	813	939
464	815	938
465	816	936
466	818	934
467	820	932
468	821	930
469	823	928
470	825	927
471	827	925
472	831	925
473	833	924
474	834	922
475	836	920
476	838	918
477	839	916
478	841	915
479	843	913
480	845	912
481	846	910
482	848	907
483	849	905
484	851	903
485	852	901
486	854	900
487	856	898
488	858	896
489	859	895
490	861	893
491	863	891
492	864	889
493	866	887
494	867	885
495	869	883
496	881	891
497	893	900
498	896	899
499	898	898
500	900	896
501	902	894
502	904	893
503	906	892
504	908	890
505	910	888
506	911	886
507	913	884
508	915	882
509	916	880
510	918	878
511	919	876
512	921	874
513	922	872
514	924	870
515	926	868
516	927	866
517	929	864
518	931	863
519	932	860
520	934	858
521	935	856
522	937	854
523	938	852
524	940	851
525	942	849
526	944	847
527	945	845
528	947	843
529	948	841
530	950	839
531	952	837
532	953	835
533	954	833
534	956	831
535	958	829
536	960	827
537	961	825
538	963	823
539	964	821
540	966	820
541	968	818
542	970	816
543	972	815
544	974	813
545	976	811
546	978	810
547	980	808
548	982	807
549	984	805
550	986	804
551	989	802
552	990	801
553	992	799
554	994	797
555	995	795
556	997	793
557	999	791
558	1001	789
559	1003	788
560	1004	786
561	1006	784
562	1008	782
563	1009	780
564	1011	778
565	1013	777
566	1015	775
567	1016	773
568	1018	771
569	1020	769
570	1021	767
571	1023	765
572	1024	763
573	1026	761
574	1029	760
575	1031	759
576	1032	757
577	1034	755
578	1036	753
579	1038	751
580	1039	749
581	1041	748
582	1043	746
583	1045	744
584	1046	742
585	1048	740
586	1050	738
587	1051	736
588	1053	734
589	1055	733
590	1056	731
591	1058	729
592	1060	727
593	1061	725
594	1063	723
595	1065	722
596	1067	720
597	1068	718
598	1070	716
599	1072	714
600	1073	712
601	1075	710
602	1077	709
603	1079	707
604	1081	705
605	1082	704
606	1084	702
607	1086	700
608	1087	698
609	1089	696
610	1090	694
611	1092	692
612	1094	690
613	1095	688
614	1097	687
615	1099	685
616	1100	683
617	1102	681
618	1103	679
619	1105	677
620	1106	675
621	1108	673
622	1110	671
623	1111	669
624	1113	668
625	1114	666
626	1116	664
627	1117	662
628	1119	660
629	1121	658
630	1122	656
631	1124	654
632	1126	653
633	1128	651
634	1129	649
635	1131	647
636	1132	645
637	1134	643
638	1135	641
639	1137	639
640	1139	638
641	1141	636
642	1142	634
643	1144	632
644	1145	630
645	1147	628
646	1148	626
647	1150	624
648	1151	623
649	1154	621
650	1157	620
651	1158	618
652	1160	616
653	1161	614
654	1163	612
655	1165	611
656	1168	610
657	1170	608
658	1172	606
659	1173	604
660	1175	602
661	1176	600
662	1178	598
663	1180	597
664	1183	595
665	1185	594
666	1186	592
667	1188	590
668	1190	588
669	1191	586
670	1193	585
671	1195	583
672	1196	581
673	1198	579
674	1199	577
675	1201	575
676	1202	573
677	1204	572
678	1206	570
679	1207	568
680	1210	567
681	1212	565
682	1213	563
683	1215	561
684	1217	559
685	1218	557
686	1220	555
687	1222	554
688	1224	552
689	1226	550
690	1227	549
691	1229	547
692	1230	545
693	1232	543
694	1234	541
695	1235	539
696	1237	538
697	1239	536
698	1240	534
699	1242	532
700	1244	530
701	1245	528
702	1247	526
703	1248	524
704	1250	523
705	1252	521
706	1253	519
707	1255	517
708	1257	515
709	1258	514
710	1260	512
711	1261	510
712	1263	508
713	1265	507
714	1267	505
715	1269	503
716	1270	501
717	1272	499
718	1274	497
719	1275	496
720	1278	494
721	1279	492
722	1281	491
723	1283	489
724	1285	487
725	1286	485
726	1288	483
727	1289	481
728	1291	480
729	1293	478
730	1294	476
731	1296	474
732	1297	472
733	1299	470
734	1300	469
735	1302	467
736	1303	465
737	1305	463
738	1307	461
739	1309	460
740	1310	458
741	1312	456
742	1314	454
743	1315	452
744	1317	450
745	1318	448
746	1320	447
747	1321	445
748	1323	443
749	1324	441
750	1326	439
751	1327	437
752	1329	436
753	1331	434
754	1332	432
755	1334	430
756	1336	428
757	1338	427
758	1339	425
759	1341	423
760	1343	421
761	1345	420
762	1347	418
763	1351	417
764	1353	415
765	1354	413
766	1356	412
767	1358	410
768	1359	408
769	1361	406
770	1363	405
771	1365	403
772	1367	401
773	1369	399
774	1370	397
775	1372	396
776	1373	394
777	1375	392
778	1378	390
779	1379	389
780	1381	387
781	1383	385
782	1384	383
783	1386	381
784	1387	380
785	1389	378
786	1391	376
787	1393	374
788	1395	373
789	1396	371
790	1398	369
791	1399	367
792	1401	365
793	1402	363
794	1404	362
795	1406	360
796	1407	358
797	1409	356
798	1410	354
799	1412	353
800	1413	351
801	1415	349
802	1417	347
803	1419	346
804	1420	344
805	1422	342
806	1424	340
807	1425	338
808	1427	336
809	1428	335
810	1430	333
811	1434	332
812	1436	330
813	1437	328
814	1439	326
815	1441	324
816	1442	323
817	1444	321
818	1445	319
819	1447	317
820	1449	316
821	1451	314
822	1454	312
823	1457	311
824	1459	309
825	1461	307
826	1463	306
827	1464	304
828	1466	302
829	1467	300
830	1469	298
831	1470	297
832	1473	295
833	1474	293
834	1476	291
835	1478	289
836	1479	288
837	1481	286
838	1482	284
839	1484	282
840	1486	281
841	1488	279
842	1490	277
843	1491	275
844	1493	273
845	1494	272
846	1496	270
847	1497	268
848	1499	266
849	1500	264
850	1502	263
851	1503	261
852	1505	259
853	1506	257
854	1508	255
855	1509	254
856	1511	252
857	1512	250
858	1514	248
859	1516	246
860	1517	245
861	1519	243
862	1521	241
863	1523	239
864	1525	238
865	1527	236
866	1529	234
867	1530	232
868	1534	231
869	1536	229
870	1538	227
871	1540	226
872	1541	224
873	1543	222
874	1544	220
875	1546	218
876	1548	217
877	1549	215
878	1551	213
879	1552	211
880	1554	209
881	1555	208
882	1557	206
883	1559	204
884	1561	202
885	1562	201
886	1564	199
887	1565	197
888	1567	195
889	1568	193
890	1570	192
891	1572	190
892	1574	188
893	1575	186
894	1577	185
895	1578	183
896	1580	181
897	1581	179
898	1583	177
899	1584	176
900	1586	174
901	1588	172
902	1590	170
903	1591	169
904	1593	167
905	1595	165
906	1596	163
907	1598	161
908	1600	160
909	1602	158
910	1603	156
911	1605	154
912	1606	153
913	1608	151
914	1609	149
915	1611	147
916	1612	145
917	1614	144
918	1616	142
919	1618	140
920	1620	138
921	1621	137
922	1623	135
923	1625	133
924	1626	131
925	1628	130
926	1630	128
927	1632	126
928	1633	124
929	1635	123
930	1636	121
931	1638	119
932	1639	117
933	1641	115
934	1642	114
935	1644	112
936	1645	110
937	1647	108
938	1649	107
939	1650	105
940	1652	103
941	1653	101
942	1655	100
943	1657	98
944	1659	96
945	1660	94
946	1662	93
947	1664	91
948	1665	89
949	1667	87
950	1668	85
951	1670	84
952	1672	82
953	1673	80
954	1675	78
955	1676	77
956	1678	75
957	1679	73
958	1681	71
959	1683	70
960	1686	68
961	1688	66
962	1690	64
963	1691	63
964	1693	61
965	1694	59
966	1696	57
967	1697	56
968	1699	54
969	1701	52
970	1703	50
971	1705	49
972	1707	47
973	1709	45
974	1711	43
975	1713	42
976	1716	40
977	1718	38
978	1720	36
979	1721	35
980	1723	33
981	1725	31
982	1727	29
983	1728	28
984	1730	26
985	1732	24
986	1734	22
987	1735	21
988	1737	19
989	1738	17
990	1741	15
991	1742	14
992	1747	12
993	1749	10
994	1752	8
995	1754	7
996	1756	5
997	1758	3
998	1759	1
999	1761	0
