iter	MultiClass
0	1.038956159
1	0.9847746694
2	0.9286253236
3	0.8852435654
4	0.8353989839
5	0.7978601356
6	0.7547052916
7	0.7240475427
8	0.699465956
9	0.6748217734
10	0.6469836206
11	0.6241804978
12	0.5974118973
13	0.5741886848
14	0.5563142758
15	0.5356108076
16	0.5166597877
17	0.4985619584
18	0.483147605
19	0.4632678809
20	0.4443231844
21	0.4283625454
22	0.4133013387
23	0.3991511938
24	0.3870602596
25	0.3739902167
26	0.3604801211
27	0.3488022881
28	0.3377672078
29	0.3281293921
30	0.3191984954
31	0.3081659587
32	0.3005621983
33	0.2925531556
34	0.2862693733
35	0.2790747993
36	0.2710228154
37	0.2634576938
38	0.2560571509
39	0.2484497314
40	0.2435303351
41	0.2383613863
42	0.231988925
43	0.2261014218
44	0.2199610063
45	0.2152405122
46	0.210247575
47	0.2061805832
48	0.2013444664
49	0.1978560348
50	0.1937943226
51	0.1899759353
52	0.1855661796
53	0.1818667114
54	0.1789006692
55	0.1754578279
56	0.1725387888
57	0.1698814266
58	0.1671537554
59	0.1644457278
60	0.1622089337
61	0.1588049456
62	0.1559515798
63	0.1522484208
64	0.1496081811
65	0.1477667096
66	0.1447412766
67	0.142136021
68	0.139805871
69	0.1376684772
70	0.1348369091
71	0.1326934113
72	0.1309118028
73	0.1286943926
74	0.1269505313
75	0.1252052734
76	0.1225672284
77	0.1202099365
78	0.1187082684
79	0.1162663426
80	0.1143903158
81	0.1120245944
82	0.1105478852
83	0.1080614026
84	0.1062670696
85	0.1048275642
86	0.1030360998
87	0.1018862138
88	0.100091978
89	0.09898321649
90	0.09760187788
91	0.0961093544
92	0.09491243774
93	0.09374569848
94	0.09190617676
95	0.0902623615
96	0.08884012069
97	0.0877908017
98	0.08602418282
99	0.08471287549
100	0.08356867278
101	0.08244653464
102	0.08123797199
103	0.08009610661
104	0.07901477139
105	0.07801785154
106	0.0768823064
107	0.07593438815
108	0.07492529015
109	0.07407048895
110	0.0731282561
111	0.07218468164
112	0.07118146711
113	0.07041799445
114	0.06947065779
115	0.06828337648
116	0.06763880864
117	0.06683721659
118	0.06596097912
119	0.06532355026
120	0.06448302607
121	0.06376823938
122	0.06333680586
123	0.0626307823
124	0.06209885621
125	0.06147266885
126	0.06084757983
127	0.06023573054
128	0.05976508162
129	0.05910339938
130	0.05860034555
131	0.05784663435
132	0.05723632473
133	0.0567977068
134	0.05602411854
135	0.05538009933
136	0.05498699799
137	0.05436158321
138	0.05379682633
139	0.05340075028
140	0.05286334767
141	0.05251229678
142	0.05199047954
143	0.05143105318
144	0.05080786484
145	0.05033885743
146	0.04993033769
147	0.04959301765
148	0.04892748114
149	0.04845632651
150	0.04793250946
151	0.04760033431
152	0.04702879542
153	0.04649045151
154	0.04603497927
155	0.04565117325
156	0.04524365187
157	0.04492448035
158	0.04451120939
159	0.04418011802
160	0.0438060286
161	0.04346385916
162	0.04312125413
163	0.04282240183
164	0.04253390031
165	0.04223385702
166	0.04189941228
167	0.04160781067
168	0.04122593199
169	0.04094382232
170	0.04066703501
171	0.04032693288
172	0.04010675976
173	0.03984962453
174	0.0394537444
175	0.03903178077
176	0.0388311793
177	0.03852954701
178	0.03827451202
179	0.03785679462
180	0.03760834461
181	0.03728023344
182	0.03701138809
183	0.03669351772
184	0.03632762916
185	0.03608323297
186	0.03585054075
187	0.03566565321
188	0.03543419545
189	0.03519601292
190	0.03497898511
191	0.03468047139
192	0.03448790084
193	0.03416592206
194	0.03399990799
195	0.03372306838
196	0.03365754275
197	0.03336630027
198	0.03314268624
199	0.03291160203
200	0.03268812826
201	0.03243000136
202	0.03226456638
203	0.03206437395
204	0.03189054153
205	0.03166806096
206	0.03142863136
207	0.03122930555
208	0.03108705371
209	0.03093118043
210	0.03076037995
211	0.03044703944
212	0.03028930472
213	0.0300848674
214	0.02985663614
215	0.02968418297
216	0.029543319
217	0.02929650707
218	0.0291202688
219	0.02897385346
220	0.02884875054
221	0.02868865353
222	0.0285766959
223	0.02845925779
224	0.02827082236
225	0.02810241021
226	0.02790781603
227	0.02767882152
228	0.02749866805
229	0.02735926701
230	0.02715391475
231	0.02703961128
232	0.02692807577
233	0.02673298253
234	0.02658737415
235	0.02640981582
236	0.02630926634
237	0.0261991881
238	0.02608291395
239	0.02596872603
240	0.0257809327
241	0.02567802836
242	0.02558441568
243	0.02545857144
244	0.02535658279
245	0.02521652069
246	0.02509300822
247	0.0249219062
248	0.02474449088
249	0.02460339128
250	0.02445611161
251	0.02433050094
252	0.02419333033
253	0.02410574967
254	0.0239827255
255	0.02387464797
256	0.02377685084
257	0.0236947812
258	0.0235832884
259	0.02349275588
260	0.02341581133
261	0.02324197251
262	0.02307417818
263	0.02296341032
264	0.02284816432
265	0.0227373491
266	0.02263476534
267	0.02253606294
268	0.02238756697
269	0.02227640282
270	0.02215115841
271	0.02203084471
272	0.02194396176
273	0.02184841884
274	0.02177615231
275	0.02168346714
276	0.02157072988
277	0.02144671395
278	0.02135725228
279	0.02127507583
280	0.02119044968
281	0.02110922363
282	0.02104198519
283	0.02093550363
284	0.02087452019
285	0.02079191484
286	0.02071034557
287	0.0206049997
288	0.02047309087
289	0.02037978532
290	0.02025273947
291	0.02014011054
292	0.02002793335
293	0.0199488158
294	0.01986518974
295	0.01977673078
296	0.0196648586
297	0.0195819051
298	0.01951334708
299	0.01941289905
300	0.01934460155
301	0.01927758014
302	0.0191799303
303	0.01910938507
304	0.01905294626
305	0.01899560432
306	0.0189299061
307	0.01885296699
308	0.01876560795
309	0.01868849047
310	0.01863406133
311	0.01854645162
312	0.018458133
313	0.01839151151
314	0.01831027559
315	0.01825542552
316	0.01819776346
317	0.01814684306
318	0.01808894565
319	0.0180373527
320	0.01793651676
321	0.01785008745
322	0.01779023213
323	0.01773095344
324	0.01768391636
325	0.0176142756
326	0.01755015859
327	0.0174779691
328	0.01741540626
329	0.01736168134
330	0.01728530785
331	0.01723469821
332	0.01718739057
333	0.01709736793
334	0.01705794232
335	0.01700153111
336	0.01697233195
337	0.01691988584
338	0.01687525997
339	0.01681915688
340	0.01677216066
341	0.01670837722
342	0.0166381074
343	0.01657289782
344	0.01652275235
345	0.01647621516
346	0.0164277536
347	0.01638017752
348	0.01630148454
349	0.01624808589
350	0.01618483597
351	0.01610244414
352	0.01603849048
353	0.01595840306
354	0.01592003528
355	0.01589019182
356	0.01584794925
357	0.01580395925
358	0.01576516696
359	0.01569277749
360	0.01565715045
361	0.01560203539
362	0.01556342988
363	0.01549351789
364	0.01543823764
365	0.01540126712
366	0.01532706477
367	0.0152862937
368	0.01524728626
369	0.01518913971
370	0.0151437165
371	0.01509856025
372	0.0150581275
373	0.01501876302
374	0.01496038873
375	0.01492115058
376	0.01487559796
377	0.01484016832
378	0.01479278743
379	0.01472294889
380	0.01468216729
381	0.01464166465
382	0.01458856204
383	0.01454727063
384	0.01449309903
385	0.0144254555
386	0.01435530346
387	0.01431022343
388	0.01425817409
389	0.014217916
390	0.01417733319
391	0.01413565792
392	0.01409872203
393	0.01404731735
394	0.01400973131
395	0.01396543169
396	0.01391814944
397	0.01386584147
398	0.01381391025
399	0.01377262953
400	0.0137340516
401	0.01370864924
402	0.01367752842
403	0.01362377145
404	0.01359425273
405	0.01355546618
406	0.0135188401
407	0.01347066431
408	0.01342857432
409	0.01340306928
410	0.01337059955
411	0.01333537383
412	0.01330433078
413	0.01327243626
414	0.01323748861
415	0.01320626741
416	0.0131621818
417	0.01314266133
418	0.01309655387
419	0.01306774725
420	0.01303702236
421	0.01300854336
422	0.01296830963
423	0.01293509736
424	0.01289399449
425	0.0128649965
426	0.01281342234
427	0.01278108004
428	0.0127502864
429	0.0127100117
430	0.01268417751
431	0.01264246368
432	0.01260971624
433	0.01257164878
434	0.01254474414
435	0.01250542838
436	0.01247151524
437	0.01243545315
438	0.01239808115
439	0.01237018769
440	0.01232511449
441	0.012287929
442	0.01225211065
443	0.01221104981
444	0.01215925452
445	0.01212802871
446	0.01209447678
447	0.01206055851
448	0.01202611591
449	0.01200376373
450	0.01197057498
451	0.01194348258
452	0.01193122062
453	0.01190583107
454	0.01188331289
455	0.01186668099
456	0.01184651589
457	0.01180214241
458	0.01176880134
459	0.01175116345
460	0.0117278761
461	0.01170769374
462	0.0116637901
463	0.01163490476
464	0.01160861816
465	0.01157290562
466	0.0115379792
467	0.01150446436
468	0.0114707462
469	0.01143614438
470	0.01140045998
471	0.01137017723
472	0.0113519509
473	0.01132712034
474	0.01128664939
475	0.01125187991
476	0.01122091731
477	0.0111921833
478	0.0111674195
479	0.01114178671
480	0.01111400409
481	0.01107635273
482	0.01105729945
483	0.01104260901
484	0.01102194357
485	0.0109889198
486	0.0109682821
487	0.01095357937
488	0.01092531144
489	0.01089442794
490	0.01086752318
491	0.01084192415
492	0.01081811697
493	0.01079019162
494	0.01076149876
495	0.01074596832
496	0.01071980673
497	0.01069761298
498	0.01067531594
499	0.01065144427
500	0.0106123383
501	0.01059611755
502	0.01058455023
503	0.01056138909
504	0.01055131865
505	0.01052798093
506	0.01051268447
507	0.01047953474
508	0.01045659336
509	0.01042343539
510	0.01039525799
511	0.01037569341
512	0.01035552679
513	0.0103313685
514	0.0103051798
515	0.01028473213
516	0.01025893319
517	0.01022241996
518	0.01020155535
519	0.01018021379
520	0.0101571236
521	0.01013302902
522	0.01011806834
523	0.01007953931
524	0.01005740067
525	0.01003506362
526	0.01001729624
527	0.009999622368
528	0.009970051753
529	0.009944321437
530	0.009923396223
531	0.009893680928
532	0.00987777976
533	0.009851455179
534	0.009825176729
535	0.009810007601
536	0.009788201965
537	0.00977199991
538	0.009758331465
539	0.009730485667
540	0.009713740975
541	0.009699111055
542	0.00968438063
543	0.009653197327
544	0.009631754258
545	0.009611779823
546	0.009594975698
547	0.009578403013
548	0.009558558859
549	0.009538240192
550	0.009518017451
551	0.00949155311
552	0.009476971532
553	0.009457791376
554	0.009427271866
555	0.009408999395
556	0.009383519032
557	0.009366106312
558	0.009345535973
559	0.009323407215
560	0.009303683614
561	0.009280224359
562	0.009254411101
563	0.009237499094
564	0.00921872405
565	0.009198857472
566	0.009185164632
567	0.009164147749
568	0.009142878619
569	0.009118309706
570	0.009102042788
571	0.009083825628
572	0.009064327661
573	0.009049076666
574	0.009025307399
575	0.009001946985
576	0.008983090116
577	0.00896547502
578	0.008948917924
579	0.008931598472
580	0.008917571201
581	0.008898556091
582	0.008885221218
583	0.008857196622
584	0.008829695475
585	0.008808524649
586	0.008791788846
587	0.008770675242
588	0.00875953303
589	0.008739295495
590	0.008725440123
591	0.008712540313
592	0.008698426383
593	0.008674912046
594	0.008657066123
595	0.008645255905
596	0.008631559932
597	0.00861672192
598	0.008602328644
599	0.008590224268
600	0.008580294104
601	0.008564584968
602	0.008557336211
603	0.008546632792
604	0.008527451803
605	0.008513553249
606	0.008497708197
607	0.008482583815
608	0.008466091666
609	0.008449329105
610	0.008433969311
611	0.008414377812
612	0.008401480501
613	0.008385073752
614	0.008363697824
615	0.008349386453
616	0.008333477638
617	0.008318596666
618	0.008304382993
619	0.008294701505
620	0.008283362786
621	0.008265674719
622	0.008246305595
623	0.008231789347
624	0.008218676295
625	0.008201227302
626	0.00818302493
627	0.008171521034
628	0.008157824848
629	0.008147184724
630	0.008131043857
631	0.008115091265
632	0.008098531077
633	0.008089233834
634	0.0080756718
635	0.008066859673
636	0.008054228375
637	0.008042615781
638	0.008027648076
639	0.008016479021
640	0.008000277183
641	0.007989074785
642	0.007977265458
643	0.007960995953
644	0.007942328186
645	0.007930449051
646	0.007915985052
647	0.007907115843
648	0.007893760741
649	0.007882922558
650	0.007869606181
651	0.00785649206
652	0.007847111343
653	0.007827684659
654	0.007816310602
655	0.007802784342
656	0.00778724114
657	0.007774167997
658	0.00776308802
659	0.007753828704
660	0.00774228803
661	0.007726999265
662	0.007715196933
663	0.007702772276
664	0.007687431243
665	0.007663957215
666	0.007641104178
667	0.007626904222
668	0.007616065172
669	0.007601908128
670	0.007589259196
671	0.007575704109
672	0.007564098594
673	0.007548024042
674	0.007541544724
675	0.007524866797
676	0.007516451693
677	0.007507754295
678	0.0074973247
679	0.007484797819
680	0.007472387175
681	0.007461959236
682	0.007453781747
683	0.007434190371
684	0.007421491661
685	0.007412780517
686	0.007403136364
687	0.007388958136
688	0.007378593505
689	0.007366165571
690	0.007354986364
691	0.007337901535
692	0.007328133972
693	0.00731716542
694	0.007302569356
695	0.007288486584
696	0.007277316258
697	0.007266536954
698	0.007252184469
699	0.007240432705
700	0.007235239304
701	0.007224305929
702	0.00721099419
703	0.00720000217
704	0.007190151392
705	0.007176034012
706	0.007164497163
707	0.007152216322
708	0.007140511267
709	0.007121977371
710	0.007111074923
711	0.007101194464
712	0.007089521331
713	0.007078692079
714	0.007070385725
715	0.007059058946
716	0.007050620534
717	0.007041215853
718	0.007028937694
719	0.007017605912
720	0.007010542981
721	0.006999930959
722	0.006981085513
723	0.006967662438
724	0.006957194665
725	0.00694680514
726	0.006939021156
727	0.00693282391
728	0.006922493785
729	0.006906427612
730	0.006898466969
731	0.006887474088
732	0.00687952891
733	0.006871586399
734	0.006860516315
735	0.006846251493
736	0.006832483146
737	0.006824957406
738	0.006815158321
739	0.006803591335
740	0.006795926308
741	0.006782746363
742	0.006773104251
743	0.006763616545
744	0.00675401409
745	0.006742998755
746	0.006738807172
747	0.006731269237
748	0.006720855361
749	0.00671669584
750	0.006708991519
751	0.006702183798
752	0.006694036446
753	0.006685806156
754	0.006676177577
755	0.006665689126
756	0.006656319849
757	0.00664480221
758	0.006636787511
759	0.006629211397
760	0.006620770717
761	0.006612206016
762	0.006604552739
763	0.006595092347
764	0.006590612342
765	0.006581528855
766	0.006571110673
767	0.006564520379
768	0.006557495936
769	0.006547237054
770	0.006536303133
771	0.006526002053
772	0.006519075011
773	0.006506190428
774	0.006494671421
775	0.006482060779
776	0.006472533925
777	0.006462792162
778	0.006450398543
779	0.006433265261
780	0.006425980373
781	0.006416904379
782	0.0064089122
783	0.006400738535
784	0.006392274972
785	0.0063834219
786	0.006373384449
787	0.006368623686
788	0.006360954411
789	0.006347757382
790	0.006339934973
791	0.00632391747
792	0.006313569494
793	0.006306551028
794	0.006302759111
795	0.006291408395
796	0.006284783164
797	0.006277509538
798	0.006269261484
799	0.006259846903
800	0.006250265141
801	0.006244245496
802	0.006236687239
803	0.006230878799
804	0.006223662338
805	0.006216364426
806	0.00621033694
807	0.006202939
808	0.006188446104
809	0.006184208916
810	0.006176733095
811	0.006170246829
812	0.006163152454
813	0.006154968081
814	0.006147814513
815	0.006138838694
816	0.006129949526
817	0.006122275787
818	0.006116889752
819	0.006110989575
820	0.006104269278
821	0.006096405337
822	0.006087524699
823	0.006077616817
824	0.006065144209
825	0.006058500965
826	0.006048274693
827	0.006036842543
828	0.006025494151
829	0.006019548389
830	0.006011460185
831	0.006003799413
832	0.005995054756
833	0.00598469574
834	0.005976509442
835	0.005967800849
836	0.00595919009
837	0.005951918228
838	0.005944457138
839	0.005939046345
840	0.005931289661
841	0.005921212981
842	0.005909879318
843	0.005903954875
844	0.00589839915
845	0.005888899688
846	0.005883765321
847	0.005879550708
848	0.005870229726
849	0.005865120504
850	0.005857679952
851	0.005850170861
852	0.005838087157
853	0.005829470114
854	0.005822682384
855	0.005817973775
856	0.005811087545
857	0.005804812275
858	0.005795711551
859	0.005788884613
860	0.005779597908
861	0.005768507347
862	0.00575974426
863	0.005753125879
864	0.005744992045
865	0.005737832842
866	0.005730941859
867	0.005725720031
868	0.005718974048
869	0.005711697017
870	0.005702867121
871	0.005695010195
872	0.005686133162
873	0.005681928732
874	0.005675010438
875	0.005669104778
876	0.005664371612
877	0.00565602843
878	0.005651355488
879	0.005642881269
880	0.005637508187
881	0.005634638033
882	0.005626482956
883	0.005621191056
884	0.00561367611
885	0.005607744783
886	0.005599372733
887	0.005594429132
888	0.005586354564
889	0.00557620712
890	0.005567063895
891	0.005560502403
892	0.00555527782
893	0.005548389504
894	0.005539522339
895	0.005530699854
896	0.00552408294
897	0.005514212949
898	0.005507478028
899	0.00550155315
900	0.005488196621
901	0.005483610476
902	0.005479991847
903	0.0054696212
904	0.005466663599
905	0.005460347071
906	0.00545390366
907	0.005448310426
908	0.005441103569
909	0.005431537973
910	0.005423249963
911	0.005417372712
912	0.005412374203
913	0.005406402819
914	0.00540293893
915	0.005396989489
916	0.005391722475
917	0.00538635449
918	0.005380086657
919	0.00537358063
920	0.005368333458
921	0.005363183856
922	0.005358216864
923	0.005351354661
924	0.005345354412
925	0.005341430062
926	0.005336415571
927	0.005329499276
928	0.005324301635
929	0.005316824416
930	0.005313053536
931	0.00530681652
932	0.005300613839
933	0.005296628429
934	0.005291501371
935	0.005287563819
936	0.005281331922
937	0.005272883305
938	0.005262090493
939	0.00525658831
940	0.005248675866
941	0.00524161143
942	0.005236117234
943	0.00522897854
944	0.005223565792
945	0.005215275565
946	0.005207477217
947	0.005201687147
948	0.005196018091
949	0.005189138957
950	0.005186511021
951	0.005180784072
952	0.005174854956
953	0.005166279452
954	0.005161232992
955	0.005156715936
956	0.005152000236
957	0.005148209588
958	0.005142296725
959	0.00513646908
960	0.005134144784
961	0.005129605117
962	0.00512299181
963	0.005116454261
964	0.005112190278
965	0.005106709936
966	0.005098446131
967	0.005093085732
968	0.005087846661
969	0.005083455929
970	0.005080671998
971	0.005074794141
972	0.005070912585
973	0.005063648074
974	0.005059252193
975	0.005051929078
976	0.005048880524
977	0.005042315952
978	0.005034873292
979	0.005029451293
980	0.005023049967
981	0.005017388871
982	0.005011107435
983	0.005006462523
984	0.005001307109
985	0.004997216347
986	0.004990159844
987	0.004984297466
988	0.004980300098
989	0.004975615898
990	0.004968413267
991	0.004964114101
992	0.004959135665
993	0.004954127666
994	0.004948862603
995	0.004944765586
996	0.004938986523
997	0.004933871204
998	0.004928572547
999	0.004922088402
